EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
000019818,PALMER SECOND BAPTIST CHURCH,,1050 THORNDIKE ST,PALMER,MA,01069-1507,3125,03,9,7000,195504,1,10,001000000,5,01,,0,0,06,0,12,,,,,5662
000029215,ST GEORGE CATHEDRAL,,523 E BROADWAY,SOUTH BOSTON,MA,02127-4415,2365,03,9,7000,197210,1,10,001000000,1,01,,0,0,06,0,12,,,,,
000587764,IGLESIA BETHESDA INC,,13 CUMMINGHAM ST,LOWELL,MA,01852-0000,0000,03,3,7000,200401,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
000635913,MINISTERIO APOSTOLICO JESUCRISTO ES EL SENOR INC,,454 ESSEX ST,LAWRENCE,MA,01840-1242,0000,03,3,7000,200401,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
000765634,MERCY CHAPEL INTERNATIONAL,,75 MORTON VILLAGE DR APT 408,MATTAPAN,MA,02126-2433,0000,03,3,7000,200404,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
000841363,AGAPE HOUSE OF PRAYER,,39 GOODALE RD STE 2,MATTAPAN,MA,02126-1527,0000,03,3,1700,200412,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
000852649,BETHANY PRESBYTERIAN CHURCH,,32 HARVARD ST,BROOKLINE,MA,02445-7994,0000,03,3,7000,200504,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
001028397,UNITY IN THE CITY,% CARLOS ANDERSON,PO BOX 471009,BROOKLINE,MA,01302-0000,2062,03,9,2000,197002,1,10,059029000,5,01,,0,0,01,0,12,,,,,
001347537,RESTORATION OF HOPE CHURCH MINISTRIES,,PO BOX 190340,ROXBURY,MA,02119-0006,0000,03,3,7000,202007,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
002022084,ST ROSALIAS ROMAN CATHOLIC CHURCH,,1230 65TH ST,BROOKLYN,NY,11219-5614,0928,03,9,1270,194603,1,10,001000000,5,01,,0,0,06,0,12,,,,,
002030711,CHURCH OF OUR LORD JESUS CHRIST OF MACEDONIA,,569 BROADWAY,NEWARK,NJ,07104-4132,0000,03,3,7000,197912,1,10,001000000,1,01,,0,0,06,0,12,,,,,
002045409,GENERAL COUNCIL OF ASSEMBLIES OF GOD FULL GOSPEL TABERNACLE,,3210 SOUTHWESTERN BLVD,ORCHARD PARK,NY,14127-1229,1678,03,9,7000,196408,1,10,029002000,5,01,,0,0,06,0,08,,,,,
007764840,TRI-COUNTY LIGHTHOUSE BAPTIST CHURCH & MINISTRIES INC,,PO BOX 102,DEERFIELD ST,NJ,08313-0102,0000,03,3,7100,200308,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010002847,HULLS COVE NEIGHBORHOOD ASSOCIATION,% JOANNE SOUSA,PO BOX 327,MOUNT DESERT,ME,04660-0327,0000,03,3,1000,200007,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,A80,
010011694,MASSACHUSETTS MODERATORS ASSOCIATION INC,% JOHN FALLON,1281,HAVERHILL,MA,01831-0000,0000,03,3,2000,202109,1,16,995408229,5,01,202409,0,0,02,0,09,0,0,0,S19,
010015091,HANOVER SOCCER CLUB INC,,PO BOX 13,CEDAR KNOLLS,NJ,07927-0013,0000,03,3,1000,201210,1,16,000000000,1,01,202312,3,4,01,0,12,47277,134859,134859,N64,
010017496,AGAMENTICUS YACHT CLUB OF YORK,,PO BOX 534,YORK HARBOR,ME,03911-0534,0000,03,3,2000,199303,1,15,149000000,1,01,202312,4,4,01,0,12,411425,164975,152419,,
010018555,ALPHA TAU OMEGA FRATERNITY,,81 COLLEGE AVE,ORONO,ME,04473-4210,0287,07,9,1000,194101,2,00,036000000,5,01,202112,0,0,02,0,12,0,0,0,,BETA UPSILION MAINE-ORONO
010018605,AMALGAMATED TRANSIT UNION,% BRENDAN BURKE,PO BOX 979,PORTLAND,ME,04104-0979,0155,05,9,3000,194010,2,00,263000000,5,01,202312,3,4,01,0,12,30085,101806,101806,,714 LOCAL
010018922,AMERICAN LEGION,% DEBRA RUMERY,5 VERTI DRIVE SUITE B,WINSLOW,ME,04901-0727,0964,19,9,1000,194610,1,00,319907000,5,01,202304,4,4,01,0,04,271690,231785,231785,,AMERICAN LEGION AUXILIARY DEPARTMEN
010018923,AMERICAN LEGION POST 0019 THOMAS W COLE POST,,PO BOX 801,SANFORD,ME,04073-0801,0925,19,9,1000,194603,1,00,907908000,1,01,202305,4,5,01,0,05,195501,849048,241362,,
010018927,AMERICAN LEGION POST 0005 BOURQUE LANIGAN,,120 DRUMMOND AVENUE SUITE 3,WATERVILLE,ME,04901-5861,0925,19,9,1000,194603,1,00,907908000,1,01,202312,4,3,02,0,12,349130,28662,11785,,
010018930,AMERICAN LEGION,% FINANCE OFFICER,5 VERTI DR,WINSLOW,ME,04901-0727,0925,19,9,1000,194603,1,00,907908000,5,01,202404,6,6,01,0,04,2036222,1894783,781917,,22 DEPT OF MAINE
010019705,ANCIENT FREE & ACCEPTED MASONS OF MAINE GRAND LODGE,,PO BOX 430,HOLDEN,ME,04429-0430,0275,10,6,1000,194101,1,00,260279000,5,01,202403,6,6,01,0,03,2846995,1240758,774309,,
010019709,ANCIENT FREE & ACCEPTED MASONS OF MAINE,% LEE OLIVER,PO BOX 1348,HOULTON,ME,04730-1348,0000,10,3,1000,202105,1,00,036000000,5,01,202412,0,0,02,0,12,0,0,0,Y42,96 MONUMENT
010021545,MAINE STATE CHAMBER OF COMMERCE,,128 STATE ST STE 101,AUGUSTA,ME,04330-5630,0000,06,3,1000,192110,2,00,205000000,1,01,202306,6,6,01,0,06,1648532,2320248,2270959,,
010022320,AUGUSTA COUNTRY CLUB,,PO BOX 239,MANCHESTER,ME,04351-0239,0000,07,3,1000,192908,2,00,280000000,1,01,202312,6,6,01,0,12,1174433,2573554,2090418,,
010022415,KENNEBEC VALLEY CHAMBER OF COMMERCE,,269 WESTERN AVE,AUGUSTA,ME,04330-4933,0000,06,3,3000,194508,2,00,200402403,1,01,202312,5,5,01,0,12,602885,946759,626160,,
010024155,BANGOR BAND,% BANGOR PARKS & RECREATION,647 MAIN STREET,BANGOR,ME,04401-6871,0000,03,3,1000,198407,1,15,090000000,5,01,202409,0,0,02,0,09,0,0,0,,
010024245,BANGOR REGION CHAMBER OF COMMERCE,,2 HAMMOND ST STE 1,BANGOR,ME,04401-5188,0000,06,3,3000,194501,2,00,403279000,1,01,202312,4,5,01,0,12,349152,612739,573304,,
010024455,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,108 ODLIN RD,BANGOR,ME,04401-6704,1156,08,9,1000,197210,1,00,279265000,5,01,202403,6,6,01,0,03,1336237,2912451,748244,,244 BANGOR
010024645,BANGOR SYMPHONY ORCHESTRA,% DAVID,PO BOX 1441,BANGOR,ME,04402-1441,0000,03,3,1200,196806,1,15,119059000,1,01,202306,6,6,01,0,06,3546551,1744111,866598,A69Z,
010024907,BAR HARBOR VILLAGE IMPROVEMENT ASSOCIATION,% RICHARD COUGH,127 WEST ST,BAR HARBOR,ME,04609-1430,0000,03,3,1000,199603,1,03,402404000,1,01,202407,6,4,00,1,07,1337999,379615,,S20Z,
010027415,ANCIENT FREE & ACCEPTED MASONS OF MAINE,% MALCOLM GATER,17 WIGHT ST,BELFAST,ME,04915-0000,0275,08,9,1000,000000,0,00,000000000,5,01,202403,0,0,02,0,03,0,0,0,,24 BELFAST LODGE
010027741,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,PO BOX 2206,AUGUSTA,ME,04338-2206,1156,08,9,1000,195110,1,00,279265000,5,01,202403,5,6,01,0,03,787000,2375841,816765,,964 AUGUSTA
010027746,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,% ROBERT CLEARY,86 MAIN ST,HOULTON,ME,04730-2121,1156,08,9,1000,195110,1,00,279265000,5,01,202403,5,5,01,0,03,579860,641251,271394,,835 HOULTON
